Module : iexplore.exe                       | 0x00140000 -- 0x001E6000 enumerated!
Module : ntdll.dll                          | 0x77830000 -- 0x7796C000 enumerated!
Module : kernel32.dll                       | 0x76D50000 -- 0x76E24000 enumerated!
Module : KERNELBASE.dll                     | 0x75C30000 -- 0x75C7A000 enumerated!
Module : ADVAPI32.dll                       | 0x76F60000 -- 0x77000000 enumerated!
Module : msvcrt.dll                         | 0x77530000 -- 0x775DC000 enumerated!
Module : sechost.dll                        | 0x77600000 -- 0x77619000 enumerated!
Module : RPCRT4.dll                         | 0x779B0000 -- 0x77A51000 enumerated!
Module : USER32.dll                         | 0x75E10000 -- 0x75ED9000 enumerated!
Module : GDI32.dll                          | 0x777E0000 -- 0x7782E000 enumerated!
Module : LPK.dll                            | 0x77970000 -- 0x7797A000 enumerated!
Module : USP10.dll                          | 0x76E70000 -- 0x76F0D000 enumerated!
Module : SHLWAPI.dll                        | 0x77000000 -- 0x77057000 enumerated!
Module : SHELL32.dll                        | 0x75EE0000 -- 0x76B29000 enumerated!
Module : ole32.dll                          | 0x77620000 -- 0x7777C000 enumerated!
Module : iertutil.dll                       | 0x772A0000 -- 0x77499000 enumerated!
Module : urlmon.dll                         | 0x76C00000 -- 0x76D35000 enumerated!
Module : OLEAUT32.dll                       | 0x774A0000 -- 0x7752F000 enumerated!
Module : CRYPT32.dll                        | 0x75AC0000 -- 0x75BDC000 enumerated!
Module : MSASN1.dll                         | 0x759F0000 -- 0x759FC000 enumerated!
Module : IMM32.DLL                          | 0x775E0000 -- 0x775FF000 enumerated!
Module : MSCTF.dll                          | 0x76B30000 -- 0x76BFC000 enumerated!
Module : MCEDP.DLL                          | 0x70B50000 -- 0x70B81000 enumerated!
Module : WS2_32.dll                         | 0x76E30000 -- 0x76E65000 enumerated!
Module : NSI.dll                            | 0x76D40000 -- 0x76D46000 enumerated!
Module : CRYPTSP.dll                        | 0x75380000 -- 0x75396000 enumerated!
Module : rsaenh.dll                         | 0x751A0000 -- 0x751DB000 enumerated!
Module : CRYPTBASE.dll                      | 0x758D0000 -- 0x758DC000 enumerated!
Breakpoint On | TID : 00000FBC - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Breakpoint On | TID : 000003BC - Dr0 - Len : 4 - Condition : HW_ON_ACCESS!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x000003BC	-- Count(0)!
Functions hooked successfully!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(1)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(2)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(3)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(4)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(5)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(6)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(7)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(8)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(9)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(10)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(11)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(12)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(13)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(14)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(15)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(16)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(17)!
Accessing EA @7788C670 (C:\Windows\SYSTEM32\ntdll.dll) | TID : 0x00000FBC	-- Count(18)!
